n,true_H,mean,bias,std
500,0.45,0.4486849996723678,-0.0013150003276322098,0.05800476646499407
500,0.5,0.4965519444990919,-0.003448055500908098,0.06187564990788311
500,0.55,0.544621980272446,-0.005378019727554029,0.0654480136912877
1000,0.45,0.4475046276724553,-0.0024953723275447093,0.042086606122603176
1000,0.5,0.4958016203098522,-0.004198379690147802,0.04470968183634777
1000,0.55,0.5442675544983167,-0.005732445501683392,0.04717577879613824
2000,0.45,0.4478056742245899,-0.002194325775410122,0.030014551484188634
2000,0.5,0.49667255527579796,-0.0033274447242020444,0.031778867045758746
2000,0.55,0.5456748990600088,-0.004325100939991278,0.033412950646560344
4000,0.45,0.44540367880714116,-0.004596321192858854,0.024413092017286656
4000,0.5,0.49422043163443496,-0.005779568365565035,0.026086959764968477
4000,0.55,0.5431606056897819,-0.006839394310218183,0.027659743523851633
5300,0.45,0.4504035608162173,0.00040356081621728546,0.024317033040571104
5300,0.5,0.49957699826909435,-0.00042300173090564774,0.025922072527229743
5300,0.55,0.5488377900617549,-0.0011622099382451179,0.02741519507035965
